id,cpu,memory,duration,base_price,deadline,flexible
W-101,40,8,2,720,09-04-2026 18:00:00,false
W-102,30,6,3,610,09-04-2026 18:00:00,false
W-103,50,10,2,840,09-04-2026 18:00:00,false
W-104,40,8,1,480,09-04-2026 18:00:00,false
W-105,60,12,3,960,09-04-2026 18:00:00,false
W-106,40,8,2,700,09-04-2026 18:00:00,false
W-107,30,6,1,580,09-04-2026 18:00:00,false
W-108,40,8,2,820,09-04-2026 18:00:00,false
W-109,30,6,3,460,09-04-2026 20:00:00,true
W-110,50,10,2,540,09-04-2026 20:00:00,true
W-111,40,8,2,630,09-04-2026 20:00:00,true
W-112,80,16,3,880,09-04-2026 20:00:00,true
W-113,90,18,2,950,09-04-2026 20:00:00,true
