ID,CPU,Memory,Duration,Base_Price,Deadline,flexible
301,32,64,21600,4.50,604800,false
302,16,32,10800,1.25,259200,true
303,48,64,28800,6.25,604800,false
304,24,48,14400,2.80,432000,true
305,8,16,7200,0.68,172800,true
306,12,24,9000,0.95,259200,false
307,40,64,28800,6.80,604800,false
308,20,48,18000,2.20,432000,true
309,4,8,3600,0.25,86400,false
310,28,64,21600,3.95,604800,true
311,6,16,5400,0.45,172800,true
312,36,64,25200,5.10,604800,false
313,2,4,1800,0.12,172800,true
314,44,64,32400,7.20,604800,false
315,10,24,7200,0.78,259200,true
316,24,48,14400,2.65,432000,false
317,32,64,21600,4.65,604800,true
318,14,32,10800,1.18,259200,false
319,48,64,36000,8.25,604800,false
320,8,16,9000,0.72,172800,true
321,20,48,14400,2.10,432000,false
322,12,24,7200,0.88,259200,true
323,36,64,28800,5.40,604800,false
324,5,12,4500,0.35,86400,true
325,28,48,18000,3.45,432000,false
326,16,32,10800,1.35,259200,true
327,40,64,28800,6.50,604800,false
328,3,6,2700,0.18,86400,true
329,24,64,21600,3.85,604800,false
330,9,24,8100,0.75,172800,true
331,44,64,32400,7.45,604800,false
332,18,32,12600,1.62,432000,true
333,12,24,9000,0.98,259200,false
334,32,64,25200,4.85,604800,true
335,7,16,6300,0.52,172800,false
336,20,48,14400,2.18,432000,true
337,4,8,3600,0.26,86400,false
338,48,64,36000,8.90,604800,false
339,10,24,9000,0.82,259200,true
340,28,48,18000,3.30,432000,false
341,16,32,10800,1.42,259200,true
342,36,64,28800,5.65,604800,false
343,6,16,5400,0.46,172800,true
344,24,48,14400,2.95,432000,false
345,14,32,10800,1.22,259200,true
346,40,64,28800,6.75,604800,false
347,2,4,1800,0.13,86400,true
348,20,48,18000,2.35,432000,true
349,8,16,7200,0.69,172800,false
350,32,64,21600,4.80,604800,true
351,12,24,9000,1.05,259200,false
352,44,64,32400,7.60,604800,true
353,5,12,4500,0.37,86400,false
354,28,48,18000,3.60,432000,true
355,16,32,10800,1.48,259200,false
356,24,48,14400,2.75,432000,true
357,36,64,28800,5.85,604800,false
358,10,24,7200,0.85,172800,true
359,48,64,36000,9.20,604800,false
360,3,6,2700,0.19,86400,true
361,20,48,14400,2.28,432000,false
362,8,16,9000,0.76,259200,true
363,32,64,25200,5.05,604800,false
364,14,32,10800,1.26,259200,true
365,40,64,28800,6.95,604800,false
366,6,16,5400,0.49,172800,true
367,24,48,21600,4.05,604800,true
368,12,24,9000,1.02,259200,false
369,28,48,18000,3.75,432000,true
370,16,32,10800,1.52,259200,false
371,44,64,32400,7.85,604800,false
372,9,24,8100,0.79,172800,true
373,36,64,28800,6.00,604800,false
374,2,4,1800,0.14,86400,true
375,20,48,14400,2.42,432000,false
376,8,16,7200,0.73,259200,true
377,32,64,21600,5.00,604800,false
378,12,24,9000,1.08,259200,true
379,48,64,36000,9.50,604800,false
380,5,12,4500,0.40,172800,true
381,24,48,14400,2.88,432000,false
382,16,32,10800,1.58,259200,true
383,40,64,28800,7.15,604800,false
384,10,24,7200,0.89,172800,true
385,28,48,18000,3.90,432000,false
386,6,16,5400,0.51,259200,true
387,36,64,28800,6.25,604800,true
388,14,32,10800,1.32,432000,false
389,20,48,14400,2.52,432000,true
390,4,8,3600,0.28,86400,false
391,32,64,25200,5.25,604800,false
392,24,48,21600,4.25,604800,true
393,8,16,9000,0.80,259200,false
394,44,64,32400,8.05,604800,true
395,12,24,7200,0.92,172800,false
396,28,48,18000,4.05,432000,true
397,16,32,10800,1.65,259200,false
398,40,64,28800,7.35,604800,false
399,3,6,2700,0.21,86400,true
400,24,48,14400,3.02,432000,true
