id,cpu,memory,duration,base_price,deadline,flexible
W1,120,250,2,500,2026-04-01 10:00,true
W2,150,300,3,600,2026-04-01 10:05,false
W3,180,350,2,650,2026-04-01 10:10,true
W4,200,400,4,700,2026-04-01 10:15,false
W5,220,450,2,750,2026-04-01 10:20,true
W6,250,500,3,800,2026-04-01 10:25,false
W7,180,400,5,600,2026-04-01 10:30,true
W8,150,350,2,550,2026-04-01 10:35,false
W9,140,300,4,500,2026-04-01 10:40,true
W10,130,300,3,480,2026-04-01 10:45,true
W11,100,250,2,200,2026-04-01 10:50,true
W12,90,200,2,180,2026-04-01 10:55,true
W13,80,200,1,150,2026-04-01 11:00,true
W14,70,150,2,120,2026-04-01 11:05,true
W15,60,150,1,100,2026-04-01 11:10,true
