id,cpu,memory,duration,base_price,deadline,flexible
W-101,32,8,2,720,09-04-2026 18:00:00,false
W-102,32,6,3,610,09-04-2026 18:00:00,false
W-103,32,10,2,840,09-04-2026 18:00:00,false
W-104,32,8,1,480,09-04-2026 18:00:00,false
W-105,32,12,3,960,09-04-2026 18:00:00,false
W-106,32,8,2,700,09-04-2026 18:00:00,false
W-107,32,6,1,580,09-04-2026 18:00:00,false
W-108,32,8,2,820,09-04-2026 18:00:00,false
W-109,32,6,3,460,09-04-2026 20:00:00,true
W-110,32,10,2,540,09-04-2026 20:00:00,true
W-111,32,8,2,630,09-04-2026 20:00:00,true
W-112,32,16,3,880,09-04-2026 20:00:00,true
W-113,32,18,2,950,09-04-2026 20:00:00,true
