id,cpu,memory,duration,base_price,deadline,flexible
W1,150,300,2,500,2026-03-26 10:00,true
W2,200,400,3,600,2026-03-26 11:00,false
W3,250,500,2,700,2026-03-26 12:00,true
W4,300,600,4,800,2026-03-26 13:00,false
W5,350,700,2,850,2026-03-26 14:00,true
W6,400,800,3,900,2026-03-26 15:00,false
W7,200,500,5,600,2026-03-26 16:00,true
W8,150,400,2,550,2026-03-26 17:00,false
W9,100,300,4,300,2026-03-26 18:00,true
W10,100,300,3,250,2026-03-26 19:00,true
W11,80,200,2,150,2026-03-26 20:00,true
W12,70,150,2,120,2026-03-26 21:00,true
W13,60,150,1,100,2026-03-26 22:00,true
W14,50,100,2,80,2026-03-26 23:00,true
W15,40,100,1,60,2026-03-27 00:00,true
