ID,CPU,Memory,Duration,Base_Price,Deadline,flexible
501,64,64,43200,8.50,604800,false
502,32,64,21600,4.50,432000,true
503,48,64,28800,6.25,604800,false
504,24,48,14400,2.80,432000,true
505,16,32,10800,1.25,259200,false
506,40,64,28800,6.80,604800,true
507,12,24,9000,0.95,259200,false
508,28,48,18000,3.20,432000,true
509,8,16,7200,0.68,172800,false
510,36,64,25200,5.10,604800,true
511,20,48,14400,2.20,432000,false
512,44,64,32400,7.20,604800,true
513,4,8,3600,0.25,86400,false
514,24,64,21600,3.85,604800,false
515,10,24,7200,0.78,259200,true
516,32,64,25200,4.85,604800,true
517,6,16,5400,0.45,172800,false
518,48,64,36000,8.25,604800,false
519,14,32,10800,1.18,259200,true
520,28,48,18000,3.45,432000,false
521,16,32,10800,1.35,259200,true
522,40,64,28800,6.50,604800,false
523,2,4,1800,0.12,86400,true
524,36,64,28800,5.40,604800,true
525,20,48,18000,2.35,432000,false
526,12,24,9000,0.88,259200,true
527,44,64,32400,7.45,604800,false
528,8,16,7200,0.69,172800,true
529,24,48,14400,2.65,432000,false
530,32,64,21600,4.65,604800,true
531,5,12,4500,0.35,86400,false
532,48,64,36000,8.90,604800,true
533,18,32,12600,1.62,432000,false
534,28,48,18000,3.60,432000,true
535,10,24,9000,0.82,259200,false
536,40,64,28800,6.75,604800,true
537,6,16,5400,0.46,172800,false
538,36,64,28800,5.65,604800,false
539,14,32,10800,1.22,259200,true
540,24,48,14400,2.95,432000,false
541,32,64,21600,4.80,604800,true
542,20,48,14400,2.18,432000,false
543,44,64,32400,7.60,604800,true
544,12,24,7200,0.92,259200,false
545,28,48,18000,3.90,432000,true
546,16,32,10800,1.48,259200,false
547,36,64,28800,6.00,604800,true
548,8,16,9000,0.76,172800,false
549,40,64,28800,7.15,604800,true
550,4,8,3600,0.28,86400,false
551,24,48,21600,4.05,604800,true
552,32,64,25200,5.25,604800,false
553,20,48,14400,2.42,432000,true
554,48,64,36000,9.20,604800,false
555,12,24,9000,1.02,259200,true
556,28,48,18000,4.05,432000,false
557,16,32,10800,1.58,259200,true
558,44,64,32400,8.05,604800,false
559,10,24,7200,0.85,172800,true
560,36,64,28800,6.25,604800,false
561,6,16,5400,0.49,172800,true
562,24,48,14400,2.88,432000,false
563,32,64,21600,5.00,604800,true
564,20,48,18000,2.52,432000,false
565,40,64,28800,7.35,604800,true
566,14,32,10800,1.32,259200,false
567,28,48,18000,3.75,432000,true
568,12,24,9000,1.08,259200,false
569,48,64,36000,9.50,604800,true
570,8,16,7200,0.73,172800,false
571,24,48,14400,3.02,432000,true
572,36,64,28800,6.45,604800,false
573,16,32,10800,1.65,259200,true
574,40,64,28800,7.55,604800,false
575,20,48,14400,2.68,432000,true
576,32,64,21600,5.20,604800,false
577,12,24,9000,1.12,259200,true
578,44,64,32400,8.25,604800,false
579,28,48,18000,4.20,432000,true
580,10,24,7200,0.88,172800,false
581,36,64,28800,6.50,604800,true
582,24,48,14400,2.98,432000,false
583,16,32,10800,1.72,259200,true
584,48,64,36000,9.75,604800,false
585,8,16,9000,0.80,172800,true
586,32,64,25200,5.45,604800,false
587,20,48,18000,2.75,432000,true
588,40,64,28800,7.75,604800,false
589,14,32,10800,1.38,259200,true
590,28,48,18000,4.35,432000,false
591,12,24,7200,0.95,172800,true
592,36,64,28800,6.75,604800,false
593,24,48,14400,3.15,432000,true
594,16,32,10800,1.78,259200,false
595,44,64,32400,8.45,604800,true
596,10,24,9000,0.92,172800,false
597,32,64,21600,5.40,604800,true
598,20,48,14400,2.85,432000,false
599,40,64,28800,7.95,604800,true
600,8,16,7200,0.77,259200,false
