id,cpu,memory,duration,base_price,deadline,flexible
W1,400,8,5,500,01-04-2026 10:00:00,false
W2,350,6,4,450,01-04-2026 11:00:00,false
W3,300,10,6,400,01-04-2026 12:00:00,false
W4,200,4,3,300,01-04-2026 13:00:00,false

W5,500,8,6,600,02-04-2026 10:00:00,true
W6,450,6,5,550,02-04-2026 12:00:00,true
W7,300,4,4,200,03-04-2026 09:00:00,true
W8,250,4,3,180,03-04-2026 11:00:00,true
W9,200,2,2,150,03-04-2026 13:00:00,true
W10,150,2,2,120,04-04-2026 10:00:00,true
W11,100,2,1,90,04-04-2026 12:00:00,true
W12,350,6,5,400,02-04-2026 15:00:00,true
W13,400,8,6,420,02-04-2026 18:00:00,true
W14,250,4,3,160,03-04-2026 15:00:00,true
W15,200,2,2,140,04-04-2026 14:00:00,true
