ID,CPU,Memory,Duration,Base_Price,Deadline,flexible
201,24,64,14400,2.80,432000,true
202,32,64,21600,4.50,604800,false
203,16,32,10800,1.25,259200,true
204,48,64,28800,6.25,604800,false
205,8,16,7200,0.68,172800,true
206,12,24,9000,0.95,259200,false
207,4,8,3600,0.25,86400,true
208,28,48,18000,3.20,432000,false
209,6,16,5400,0.45,172800,true
210,36,64,25200,5.10,604800,false
211,20,48,14400,2.20,432000,true
212,44,64,32400,7.20,604800,false
213,10,24,7200,0.78,259200,true
214,24,48,14400,2.65,432000,false
215,32,64,21600,4.65,604800,true
216,14,32,10800,1.18,259200,false
217,48,64,36000,8.25,604800,false
218,8,16,9000,0.72,172800,true
219,20,48,14400,2.10,432000,false
220,12,24,7200,0.88,259200,true
221,36,64,28800,5.40,604800,false
222,5,12,4500,0.35,86400,true
223,28,48,18000,3.45,432000,false
224,16,32,10800,1.35,259200,true
225,40,64,28800,6.50,604800,false
226,3,6,2700,0.18,86400,true
227,24,64,21600,3.85,604800,false
228,9,24,8100,0.75,172800,true
229,44,64,32400,7.45,604800,false
230,18,32,12600,1.62,432000,true
231,12,24,9000,0.98,259200,false
232,32,64,25200,4.85,604800,true
233,7,16,6300,0.52,172800,false
234,20,48,14400,2.18,432000,true
235,4,8,3600,0.26,86400,false
236,48,64,36000,8.90,604800,false
237,10,24,9000,0.82,259200,true
238,28,48,18000,3.30,432000,false
239,16,32,10800,1.42,259200,true
240,36,64,28800,5.65,604800,false
241,6,16,5400,0.46,172800,true
242,24,48,14400,2.95,432000,false
243,14,32,10800,1.22,259200,true
244,40,64,28800,6.75,604800,false
245,2,4,1800,0.13,86400,true
246,20,48,18000,2.35,432000,true
247,8,16,7200,0.69,172800,false
248,32,64,21600,4.80,604800,true
249,12,24,9000,1.05,259200,false
250,44,64,32400,7.60,604800,true

