ID,CPU,Memory,Duration,Base_Price,Deadline,flexible
1,400.0,800.0,120,10.5,26-03-2026 11:30,true
2,320.0,640.0,90,8.2,26-03-2026 12:15,true
3,480.0,960.0,150,12.1,26-03-2026 13:00,false
4,240.0,480.0,75,9.0,26-03-2026 14:45,true
5,560.0,1120.0,180,11.3,27-03-2026 09:30,false
6,360.0,720.0,100,7.5,26-03-2026 16:20,true
7,640.0,1280.0,200,13.8,27-03-2026 11:15,false
8,200.0,400.0,60,6.1,26-03-2026 17:50,true
9,520.0,1040.0,160,10.8,27-03-2026 13:40,false
10,280.0,560.0,85,8.7,26-03-2026 19:10,true
11,440.0,880.0,135,11.9,27-03-2026 15:25,false
12,600.0,1200.0,210,15.2,28-03-2026 10:00,false
13,160.0,320.0,50,9.4,26-03-2026 20:55,true
14,680.0,1360.0,220,12.6,27-03-2026 17:10,false
15,300.0,600.0,95,7.8,27-03-2026 08:45,true
16,720.0,1440.0,240,16.5,28-03-2026 12:30,false
17,120.0,240.0,40,6.4,26-03-2026 22:30,true
18,800.0,1600.0,260,14.1,28-03-2026 14:15,false
19,400.0,800.0,125,10.2,27-03-2026 19:55,true
20,480.0,960.0,145,8.9,27-03-2026 21:40,true
21,360.0,720.0,110,11.6,28-03-2026 16:00,false
22,240.0,480.0,70,9.7,26-03-2026 23:25,true
23,880.0,1760.0,280,15.8,28-03-2026 18:45,false
24,200.0,400.0,65,7.2,28-03-2026 07:20,true
25,760.0,1520.0,245,12.9,28-03-2026 20:30,false
26,320.0,640.0,105,10.4,27-03-2026 23:15,true
27,560.0,1120.0,175,6.7,29-03-2026 09:10,true
28,640.0,1280.0,205,14.4,29-03-2026 11:55,false
29,280.0,560.0,80,8.5,28-03-2026 22:15,true
30,520.0,1040.0,155,11.2,29-03-2026 13:40,false
31,920.0,1840.0,295,17.1,29-03-2026 16:25,false
32,160.0,320.0,55,9.1,28-03-2026 00:05,true
33,840.0,1680.0,270,13.2,29-03-2026 18:10,false
34,440.0,880.0,130,7.9,29-03-2026 06:50,true
35,680.0,1360.0,225,15.5,30-03-2026 10:35,false
36,360.0,720.0,115,10.6,28-03-2026 01:50,true
37,960.0,1920.0,310,14.7,29-03-2026 20:55,false
38,240.0,480.0,90,8.3,29-03-2026 08:35,true
39,400.0,800.0,140,11.4,30-03-2026 12:20,false
40,120.0,240.0,45,6.0,28-03-2026 03:35,true
