ID,CPU,Memory,Duration,Base_Price,Deadline,flexible
101,12,32,2.0,20.0,172800,False
102,8,24,3.0,20.0,259200,True
103,16,32,2.0,20.0,172800,False
104,24,48,4.0,20.0,432000,True
105,4,8,1.0,20.0,86400,False
106,32,64,6.0,27.0,604800,False
107,6,16,1.5,20.0,259200,True
108,20,48,5.0,20.0,432000,False
109,2,4,0.5,20.0,172800,True
110,48,64,8.0,50.0,604800,False
111,10,24,2.5,20.0,259200,True
112,14,32,3.0,20.0,432000,False
113,3,8,0.75,20.0,86400,True
114,28,64,6.0,22.799999999999997,604800,False
115,5,12,1.25,20.0,172800,True
116,18,48,4.0,20.0,432000,False
117,1,2,0.25,20.0,86400,True
118,36,64,8.0,41.6,604800,False
119,7,16,2.0,20.0,259200,True
120,22,48,5.0,20.0,432000,False
121,4,8,1.0,20.0,86400,False
122,30,64,6.0,25.200000000000003,604800,True
123,9,24,2.5,20.0,259200,False
124,2,4,0.5,20.0,172800,True
125,40,64,8.0,46.4,604800,False
126,6,16,1.5,20.0,259200,True
127,15,32,3.0,20.0,432000,False
128,3,6,0.75,20.0,86400,True
129,26,48,5.0,20.0,432000,False
130,8,16,2.0,20.0,172800,True
131,12,24,2.5,20.0,259200,False
132,1,2,0.25,20.0,86400,True
133,34,64,8.0,39.2,604800,False
134,5,12,1.25,20.0,172800,True
135,20,48,4.0,20.0,432000,False
136,4,8,1.0,20.0,86400,True
137,28,64,6.0,23.700000000000003,604800,False
138,7,16,2.0,20.0,259200,True
139,16,32,3.0,20.0,432000,False
140,2,4,0.5,20.0,172800,True
141,42,64,8.0,48.8,604800,False
142,10,24,2.5,20.0,259200,True
143,6,16,1.5,20.0,172800,False
144,24,48,4.0,20.0,432000,True
145,3,8,0.75,20.0,86400,False
146,36,64,8.0,42.4,604800,True
147,8,16,2.0,20.0,259200,False
148,14,32,3.0,20.0,432000,True
149,1,2,0.25,20.0,86400,False
150,30,64,6.0,26.099999999999998,604800,True
151,12,24,2.5,20.0,259200,False
152,20,48,4.0,20.0,432000,True
153,4,8,1.0,20.0,172800,False
154,32,64,6.0,28.5,604800,True
155,9,24,2.25,20.0,259200,False
156,28,48,5.0,20.0,432000,True
157,16,32,3.0,20.0,172800,False
158,40,64,8.0,55.6,604800,True
159,5,12,1.25,20.0,86400,False
160,24,48,4.0,20.0,432000,True
161,7,16,1.75,20.0,259200,False
162,36,64,7.0,38.15,604800,True
163,2,4,0.5,20.0,172800,False
164,18,48,3.5,20.0,432000,True
165,10,24,2.0,20.0,259200,False
166,44,64,9.0,68.85000000000001,604800,True
167,6,16,1.5,20.0,172800,False
168,26,48,5.0,20.0,432000,True
169,12,24,2.5,20.0,259200,False
170,32,64,6.0,30.599999999999998,604800,True
171,8,16,2.0,20.0,172800,False
172,20,48,4.0,20.0,432000,True
173,14,32,3.0,20.0,259200,False
174,40,64,8.0,57.6,604800,True
175,3,8,0.75,20.0,86400,False
176,28,48,5.0,20.0,432000,True
177,16,32,3.0,20.0,172800,False
178,36,64,8.0,46.8,604800,True
179,5,12,1.25,20.0,259200,False
180,24,48,4.0,20.0,432000,True
181,9,24,2.25,20.0,172800,False
182,44,64,9.0,71.55,604800,True
183,7,16,1.75,20.0,259200,False
184,32,64,7.0,39.550000000000004,432000,True
185,20,48,5.0,20.0,604800,False
186,12,24,2.5,20.0,259200,True
187,40,64,8.0,59.6,604800,False
188,6,16,1.5,20.0,172800,True
189,28,48,5.0,20.0,432000,False
190,16,32,3.0,20.0,259200,True
191,36,64,8.0,49.2,604800,False
192,10,24,2.0,20.0,172800,True
193,24,48,4.0,20.0,432000,False
194,8,16,2.0,20.0,259200,True
195,44,64,9.0,73.8,604800,False
196,14,32,3.0,20.0,432000,True
197,32,64,6.0,32.099999999999994,604800,False
198,20,48,4.0,20.0,432000,True
199,12,24,2.5,20.0,259200,False
200,48,64,10.0,98.0,604800,True
