ID,CPU,Memory,Duration,Base_Price,Deadline,flexible
1,4,8,3600,0.25,7200,false
2,2,4,1800,0.12,3600,true
3,6,16,5400,0.45,7200,true
4,3,6,2700,0.18,5400,true
5,8,16,7200,0.65,10800,false
6,1,2,900,0.08,1800,true
7,12,24,10800,0.95,14400,false
8,5,12,4500,0.35,7200,true
9,16,32,14400,1.80,21600,false
10,2,4,1800,0.12,3600,true
11,4,8,3600,0.25,7200,false
12,24,48,21600,2.50,43200,false
13,6,16,5400,0.45,7200,true
14,8,24,7200,0.75,10800,false
15,3,8,2700,0.20,5400,true
16,12,32,10800,1.10,14400,false
17,1,2,900,0.07,1800,true
18,20,48,18000,2.20,28800,false
19,4,12,3600,0.28,7200,true
20,32,64,28800,4.20,43200,false
21,5,16,4500,0.38,7200,true
22,10,24,9000,0.85,14400,false
23,2,4,1800,0.13,3600,true
24,16,32,14400,1.65,21600,false
25,8,16,7200,0.68,10800,true
