id,cpu,memory,duration,base_price,deadline,flexible
W1,120,250,2,500,2026-03-26 10:00,true
W2,150,300,3,600,2026-03-26 11:00,false
W3,180,350,2,650,2026-03-26 12:00,true
W4,200,400,4,700,2026-03-26 13:00,false
W5,220,450,2,750,2026-03-26 14:00,true
W6,250,500,3,800,2026-03-26 15:00,false
W7,180,400,5,600,2026-03-26 16:00,true
W8,150,350,2,550,2026-03-26 17:00,false
W9,140,300,4,500,2026-03-26 18:00,true
W10,130,300,3,480,2026-03-26 19:00,true
W11,100,250,2,200,2026-03-26 20:00,true
W12,90,200,2,180,2026-03-26 21:00,true
W13,80,200,1,150,2026-03-26 22:00,true
W14,70,150,2,120,2026-03-26 23:00,true
W15,60,150,1,100,2026-03-27 00:00,true
