id,cpu,memory,duration,base_price,deadline,flexible
W-001,80,16,2,850,08-04-2026 18:00:00,false
W-002,60,12,3,640,08-04-2026 18:00:00,false
W-003,50,10,1,530,08-04-2026 18:00:00,false
W-004,70,14,4,750,08-04-2026 18:00:00,false
W-005,90,18,2,960,08-04-2026 18:00:00,false
W-006,80,16,3,840,08-04-2026 18:00:00,false
W-007,60,12,1,620,08-04-2026 18:00:00,false
W-008,70,14,2,730,08-04-2026 18:00:00,false
W-009,50,10,3,510,08-04-2026 18:00:00,false
W-010,80,16,2,830,08-04-2026 18:00:00,false
W-011,60,12,2,620,08-04-2026 20:00:00,true
W-012,50,10,3,520,08-04-2026 20:00:00,true
W-013,40,8,2,430,08-04-2026 20:00:00,true
W-014,30,6,1,320,08-04-2026 20:00:00,true
W-015,60,12,2,640,08-04-2026 20:00:00,true
