ID,CPU,Memory,Duration,Base_Price,Deadline,flexible
201,24,64,4.0,20.0,432000,True
202,32,64,6.0,27.0,604800,False
203,16,32,3.0,20.0,259200,True
204,48,64,8.0,50.0,604800,False
205,8,16,2.0,20.0,172800,True
206,12,24,2.5,20.0,259200,False
207,4,8,1.0,20.0,86400,True
208,28,48,5.0,20.0,432000,False
209,6,16,1.5,20.0,172800,True
210,36,64,7.0,35.699999999999996,604800,False
211,20,48,4.0,20.0,432000,True
212,44,64,9.0,64.8,604800,False
213,10,24,2.0,20.0,259200,True
214,24,48,4.0,20.0,432000,False
215,32,64,6.0,27.900000000000002,604800,True
216,14,32,3.0,20.0,259200,False
217,48,64,10.0,82.5,604800,False
218,8,16,2.5,20.0,172800,True
219,20,48,4.0,20.0,432000,False
220,12,24,2.0,20.0,259200,True
221,36,64,8.0,43.2,604800,False
222,5,12,1.25,20.0,86400,True
223,28,48,5.0,20.0,432000,False
224,16,32,3.0,20.0,259200,True
225,40,64,8.0,52.0,604800,False
226,3,6,0.75,20.0,86400,True
227,24,64,6.0,23.1,604800,False
228,9,24,2.25,20.0,172800,True
229,44,64,9.0,67.05,604800,False
230,18,32,3.5,20.0,432000,True
231,12,24,2.5,20.0,259200,False
232,32,64,7.0,33.949999999999996,604800,True
233,7,16,1.75,20.0,172800,False
234,20,48,4.0,20.0,432000,True
235,4,8,1.0,20.0,86400,False
236,48,64,10.0,89.0,604800,False
237,10,24,2.5,20.0,259200,True
238,28,48,5.0,20.0,432000,False
239,16,32,3.0,20.0,259200,True
240,36,64,8.0,45.2,604800,False
241,6,16,1.5,20.0,172800,True
242,24,48,4.0,20.0,432000,False
243,14,32,3.0,20.0,259200,True
244,40,64,8.0,54.0,604800,False
245,2,4,0.5,20.0,86400,True
246,20,48,5.0,20.0,432000,True
247,8,16,2.0,20.0,172800,False
248,32,64,6.0,28.799999999999997,604800,True
249,12,24,2.5,20.0,259200,False
250,44,64,9.0,68.39999999999999,604800,True
