ID,CPU,Memory,Duration,Base_Price,Deadline,flexible
301,32,64,6.0,27.0,604800,False
302,16,32,3.0,20.0,259200,True
303,48,64,8.0,50.0,604800,False
304,24,48,4.0,20.0,432000,True
305,8,16,2.0,20.0,172800,True
306,12,24,2.5,20.0,259200,False
307,40,64,8.0,54.4,604800,False
308,20,48,5.0,20.0,432000,True
309,4,8,1.0,20.0,86400,False
310,28,64,6.0,23.700000000000003,604800,True
311,6,16,1.5,20.0,172800,True
312,36,64,7.0,35.699999999999996,604800,False
313,2,4,0.5,20.0,172800,True
314,44,64,9.0,64.8,604800,False
315,10,24,2.0,20.0,259200,True
316,24,48,4.0,20.0,432000,False
317,32,64,6.0,27.900000000000002,604800,True
318,14,32,3.0,20.0,259200,False
319,48,64,10.0,82.5,604800,False
320,8,16,2.5,20.0,172800,True
321,20,48,4.0,20.0,432000,False
322,12,24,2.0,20.0,259200,True
323,36,64,8.0,43.2,604800,False
324,5,12,1.25,20.0,86400,True
325,28,48,5.0,20.0,432000,False
326,16,32,3.0,20.0,259200,True
327,40,64,8.0,52.0,604800,False
328,3,6,0.75,20.0,86400,True
329,24,64,6.0,23.1,604800,False
330,9,24,2.25,20.0,172800,True
331,44,64,9.0,67.05,604800,False
332,18,32,3.5,20.0,432000,True
333,12,24,2.5,20.0,259200,False
334,32,64,7.0,33.949999999999996,604800,True
335,7,16,1.75,20.0,172800,False
336,20,48,4.0,20.0,432000,True
337,4,8,1.0,20.0,86400,False
338,48,64,10.0,89.0,604800,False
339,10,24,2.5,20.0,259200,True
340,28,48,5.0,20.0,432000,False
341,16,32,3.0,20.0,259200,True
342,36,64,8.0,45.2,604800,False
343,6,16,1.5,20.0,172800,True
344,24,48,4.0,20.0,432000,False
345,14,32,3.0,20.0,259200,True
346,40,64,8.0,54.0,604800,False
347,2,4,0.5,20.0,86400,True
348,20,48,5.0,20.0,432000,True
349,8,16,2.0,20.0,172800,False
350,32,64,6.0,28.799999999999997,604800,True
351,12,24,2.5,20.0,259200,False
352,44,64,9.0,68.39999999999999,604800,True
353,5,12,1.25,20.0,86400,False
354,28,48,5.0,20.0,432000,True
355,16,32,3.0,20.0,259200,False
356,24,48,4.0,20.0,432000,True
357,36,64,8.0,46.8,604800,False
358,10,24,2.0,20.0,172800,True
359,48,64,10.0,92.0,604800,False
360,3,6,0.75,20.0,86400,True
361,20,48,4.0,20.0,432000,False
362,8,16,2.5,20.0,259200,True
363,32,64,7.0,35.35,604800,False
364,14,32,3.0,20.0,259200,True
365,40,64,8.0,55.6,604800,False
366,6,16,1.5,20.0,172800,True
367,24,48,6.0,24.299999999999997,604800,True
368,12,24,2.5,20.0,259200,False
369,28,48,5.0,20.0,432000,True
370,16,32,3.0,20.0,259200,False
371,44,64,9.0,70.64999999999999,604800,False
372,9,24,2.25,20.0,172800,True
373,36,64,8.0,48.0,604800,False
374,2,4,0.5,20.0,86400,True
375,20,48,4.0,20.0,432000,False
376,8,16,2.0,20.0,259200,True
377,32,64,6.0,30.0,604800,False
378,12,24,2.5,20.0,259200,True
379,48,64,10.0,95.0,604800,False
380,5,12,1.25,20.0,172800,True
381,24,48,4.0,20.0,432000,False
382,16,32,3.0,20.0,259200,True
383,40,64,8.0,57.2,604800,False
384,10,24,2.0,20.0,172800,True
385,28,48,5.0,20.0,432000,False
386,6,16,1.5,20.0,259200,True
387,36,64,8.0,50.0,604800,True
388,14,32,3.0,20.0,432000,False
389,20,48,4.0,20.0,432000,True
390,4,8,1.0,20.0,86400,False
391,32,64,7.0,36.75,604800,False
392,24,48,6.0,25.5,604800,True
393,8,16,2.5,20.0,259200,False
394,44,64,9.0,72.45,604800,True
395,12,24,2.0,20.0,172800,False
396,28,48,5.0,20.25,432000,True
397,16,32,3.0,20.0,259200,False
398,40,64,8.0,58.8,604800,False
399,3,6,0.75,20.0,86400,True
400,24,48,4.0,20.0,432000,True
