ID,CPU,Memory,Duration,Base_Price,Deadline,flexible
1,4,8,1,20,86400,FALSE
2,2,4,0.5,20,172800,TRUE
3,6,16,1.5,20,259200,TRUE
4,3,6,0.75,20,86400,TRUE
5,8,16,2,20,172800,FALSE
6,1,2,0.25,20,86400,TRUE
7,12,24,3,20,259200,FALSE
8,5,12,1.25,20,86400,TRUE
9,16,32,4,20,432000,FALSE
10,2,4,0.5,20,172800,TRUE
11,4,8,1,20,86400,FALSE
12,24,48,6,20,604800,FALSE
13,6,16,1.5,20,259200,TRUE
14,8,24,2,20,172800,FALSE
15,3,8,0.75,20,86400,TRUE
16,12,32,3,20,259200,FALSE
17,1,2,0.25,20,86400,TRUE
18,20,48,5,20,432000,FALSE
19,4,12,1,20,172800,TRUE
20,32,64,8,33.6,604800,FALSE
21,5,16,1.25,20,86400,TRUE
22,10,24,2.5,20,259200,FALSE
23,2,4,0.5,20,172800,TRUE
24,16,32,4,20,432000,FALSE
25,8,16,2,20,259200,TRUE
