id,cpu,memory,duration,base_price,deadline,flexible
W1,500,1000,2,800,2026-03-26 10:00,true
W2,800,1500,3,1200,2026-03-26 11:00,false
W3,1200,2000,1,900,2026-03-26 12:00,true
W4,2000,3000,4,2000,2026-03-26 13:00,false
W5,3000,5000,2,1500,2026-03-26 14:00,true
W6,4000,7000,3,2500,2026-03-26 15:00,false
W7,6000,9000,5,3000,2026-03-26 16:00,true
W8,8000,12000,2,2800,2026-03-26 17:00,false
W9,10000,15000,4,4000,2026-03-26 18:00,false
W10,12000,18000,6,4500,2026-03-26 19:00,true
W11,16000,20000,3,700,2026-03-26 20:00,false
W12,20000,25000,4,5000,2026-03-26 21:00,false
W13,300,500,1,30,2026-03-26 22:00,true
W14,200,400,2,25,2026-03-26 23:00,true
W15,100,200,1,10,2026-03-27 00:00,true
