ID,CPU,Memory,Duration,Base_Price,Deadline,flexible
101,12,32,7200,1.20,172800,false
102,8,24,10800,0.95,259200,true
103,16,32,7200,1.65,172800,false
104,24,48,14400,2.80,432000,true
105,4,8,3600,0.25,86400,false
106,32,64,21600,4.50,604800,false
107,6,16,5400,0.45,259200,true
108,20,48,18000,2.20,432000,false
109,2,4,1800,0.12,172800,true
110,48,64,28800,6.25,604800,false
111,10,24,9000,0.85,259200,true
112,14,32,10800,1.25,432000,false
113,3,8,2700,0.20,86400,true
114,28,64,21600,3.80,604800,false
115,5,12,4500,0.38,172800,true
116,18,48,14400,2.10,432000,false
117,1,2,900,0.07,86400,true
118,36,64,28800,5.20,604800,false
119,7,16,7200,0.60,259200,true
120,22,48,18000,2.90,432000,false
121,4,8,3600,0.25,86400,false
122,30,64,21600,4.20,604800,true
123,9,24,9000,0.78,259200,false
124,2,4,1800,0.12,172800,true
125,40,64,28800,5.80,604800,false
126,6,16,5400,0.45,259200,true
127,15,32,10800,1.40,432000,false
128,3,6,2700,0.18,86400,true
129,26,48,18000,3.20,432000,false
130,8,16,7200,0.68,172800,true
131,12,24,9000,1.05,259200,false
132,1,2,900,0.08,86400,true
133,34,64,28800,4.90,604800,false
134,5,12,4500,0.35,172800,true
135,20,48,14400,2.25,432000,false
136,4,8,3600,0.25,86400,true
137,28,64,21600,3.95,604800,false
138,7,16,7200,0.62,259200,true
139,16,32,10800,1.55,432000,false
140,2,4,1800,0.13,172800,true
141,42,64,28800,6.10,604800,false
142,10,24,9000,0.92,259200,true
143,6,16,5400,0.48,172800,false
144,24,48,14400,2.65,432000,true
145,3,8,2700,0.22,86400,false
146,36,64,28800,5.30,604800,true
147,8,16,7200,0.70,259200,false
148,14,32,10800,1.30,432000,true
149,1,2,900,0.09,86400,false
150,30,64,21600,4.35,604800,true
151,12,24,9000,1.15,259200,false
152,20,48,14400,2.40,432000,true
153,4,8,3600,0.28,172800,false
154,32,64,21600,4.75,604800,true
155,9,24,8100,0.82,259200,false
156,28,48,18000,3.65,432000,true
157,16,32,10800,1.68,172800,false
158,40,64,28800,6.95,604800,true
159,5,12,4500,0.42,86400,false
160,24,48,14400,2.95,432000,true
161,7,16,6300,0.55,259200,false
162,36,64,25200,5.45,604800,true
163,2,4,1800,0.14,172800,false
164,18,48,12600,1.75,432000,true
165,10,24,7200,0.88,259200,false
166,44,64,32400,7.65,604800,true
167,6,16,5400,0.50,172800,false
168,26,48,18000,3.40,432000,true
169,12,24,9000,1.08,259200,false
170,32,64,21600,5.10,604800,true
171,8,16,7200,0.72,172800,false
172,20,48,14400,2.50,432000,true
173,14,32,10800,1.35,259200,false
174,40,64,28800,7.20,604800,true
175,3,8,2700,0.23,86400,false
176,28,48,18000,3.85,432000,true
177,16,32,10800,1.72,172800,false
178,36,64,28800,5.85,604800,true
179,5,12,4500,0.40,259200,false
180,24,48,14400,3.05,432000,true
181,9,24,8100,0.85,172800,false
182,44,64,32400,7.95,604800,true
183,7,16,6300,0.58,259200,false
184,32,64,25200,5.65,432000,true
185,20,48,18000,2.75,604800,false
186,12,24,9000,1.12,259200,true
187,40,64,28800,7.45,604800,false
188,6,16,5400,0.52,172800,true
189,28,48,18000,4.00,432000,false
190,16,32,10800,1.80,259200,true
191,36,64,28800,6.15,604800,false
192,10,24,7200,0.90,172800,true
193,24,48,14400,3.20,432000,false
194,8,16,7200,0.75,259200,true
195,44,64,32400,8.20,604800,false
196,14,32,10800,1.42,432000,true
197,32,64,21600,5.35,604800,false
198,20,48,14400,2.85,432000,true
199,12,24,9000,1.18,259200,false
200,48,64,36000,9.80,604800,true


